time,open,high,low,close,volume
2023-01-03 09:00:00+00:00,85.01,85.34,84.65,85.29,37931
2023-01-03 09:15:00+00:00,85.29,85.5,85.22,85.4,18722
2023-01-03 09:30:00+00:00,85.37,85.64,85.37,85.64,10752
2023-01-03 09:45:00+00:00,85.63,85.66,85.51,85.59,6171
2023-01-03 10:00:00+00:00,85.59,85.64,85.48,85.48,6619
2023-01-03 10:15:00+00:00,85.42,85.42,85.25,85.34,11354
2023-01-03 10:30:00+00:00,85.34,85.35,85.28,85.33,4233
2023-01-03 10:45:00+00:00,85.4,85.48,85.4,85.48,4641
2023-01-03 11:00:00+00:00,85.35,85.4,85.25,85.25,3910
2023-01-03 11:15:00+00:00,85.25,85.28,85.19,85.23,5695
2023-01-03 11:30:00+00:00,85.23,85.32,84.79,84.8,31536
2023-01-03 11:45:00+00:00,84.71,84.97,84.63,84.96,16845
2023-01-03 12:00:00+00:00,84.78,84.95,84.11,84.7,110493
2023-01-03 12:15:00+00:00,84.7,84.94,84.7,84.76,25273
2023-01-03 12:30:00+00:00,84.75,85.16,84.7,85.05,56497
2023-01-03 12:45:00+00:00,85.08,85.08,84.75,84.96,23479
2023-01-03 13:00:00+00:00,84.8,85.16,84.25,84.75,179218
2023-01-03 13:15:00+00:00,84.8,85.0,84.6601,84.7102,62623
2023-01-03 13:30:00+00:00,84.71,84.95,84.71,84.91,56427
2023-01-03 13:45:00+00:00,84.8903,85.3501,84.89,85.14,133547
2023-01-03 14:00:00+00:00,85.15,85.28,85.0,85.2454,57027
2023-01-03 14:15:00+00:00,85.24,85.65,85.15,85.4,162896
2023-01-03 14:30:00+00:00,85.44,86.96,85.2,86.53,8295847
2023-01-03 14:45:00+00:00,86.5299,86.66,85.35,85.47,4806074
2023-01-03 15:00:00+00:00,85.47,85.55,84.9,85.04,3438841
2023-01-03 15:15:00+00:00,85.0478,85.165,84.48,84.8704,2253550
2023-01-03 15:30:00+00:00,84.88,85.04,84.5619,84.79,1941712
2023-01-03 15:45:00+00:00,84.8024,85.36,84.57,85.3099,1916622
2023-01-03 16:00:00+00:00,85.305,85.5,84.78,84.85,1838012
2023-01-03 16:15:00+00:00,84.855,85.105,84.68,85.0084,1450037
2023-01-03 16:30:00+00:00,85.0005,85.02,84.61,84.6114,1165944
2023-01-03 16:45:00+00:00,84.61,84.63,84.25,84.44,1557878
2023-01-03 17:00:00+00:00,84.43,84.67,84.405,84.5985,1163494
2023-01-03 17:15:00+00:00,84.605,84.61,84.21,84.41,914805
2023-01-03 17:30:00+00:00,84.415,84.819,84.39,84.53,1078921
2023-01-03 17:45:00+00:00,84.52,84.5567,84.205,84.45,948695
2023-01-03 18:00:00+00:00,84.44,84.55,84.29,84.395,828514
2023-01-03 18:15:00+00:00,84.4,84.965,84.26,84.92,1215963
2023-01-03 18:30:00+00:00,84.93,85.1399,84.88,85.01,1002178
2023-01-03 18:45:00+00:00,85.01,85.29,84.89,85.245,996162
2023-01-03 19:00:00+00:00,85.245,85.42,85.12,85.3,1114080
2023-01-03 19:15:00+00:00,85.3,85.51,85.3,85.445,1236875
2023-01-03 19:30:00+00:00,85.45,85.51,85.09,85.465,1282888
2023-01-03 19:45:00+00:00,85.47,85.91,85.43,85.88,2025445
2023-01-03 20:00:00+00:00,85.88,86.17,85.85,86.1125,2073491
2023-01-03 20:15:00+00:00,86.1166,86.39,86.0,86.196,1999708
2023-01-03 20:30:00+00:00,86.21,86.49,86.02,86.04,2186961
2023-01-03 20:45:00+00:00,86.05,86.24,85.77,85.83,5200217
2023-01-03 21:00:00+00:00,85.85,85.89,85.6,85.75,21665353
2023-01-03 21:15:00+00:00,85.75,86.0084,85.75,85.92,4032146
2023-01-03 21:30:00+00:00,85.92,85.97,85.86,85.86,39215
2023-01-03 21:45:00+00:00,85.86,85.97,85.83,85.94,5352944
2023-01-03 22:00:00+00:00,85.87,85.88,85.82,85.84,6095
2023-01-03 22:15:00+00:00,85.83,85.86,85.82,85.85,12003
2023-01-03 22:30:00+00:00,85.84,85.95,85.84,85.92,16381
2023-01-03 22:45:00+00:00,85.871,85.92,85.87,85.9,3398
2023-01-03 23:00:00+00:00,85.84,85.9199,85.83,85.88,2185
2023-01-03 23:15:00+00:00,85.87,85.99,85.86,85.92,3577
2023-01-03 23:30:00+00:00,85.96,86.0,85.95,85.99,13873
2023-01-03 23:45:00+00:00,86.0,86.14,85.96,86.14,12766
2023-01-04 00:00:00+00:00,86.11,86.16,86.02,86.04,9081
2023-01-04 00:15:00+00:00,86.09,86.3,86.03,86.22,16840
2023-01-04 00:30:00+00:00,86.21,86.21,86.0,86.0699,10707
2023-01-04 00:45:00+00:00,86.05,86.06,85.86,85.95,25114
2023-01-04 09:00:00+00:00,86.85,86.86,86.4,86.85,35931
2023-01-04 09:15:00+00:00,86.75,86.85,86.71,86.79,14903
2023-01-04 09:30:00+00:00,86.79,86.84,86.7,86.77,4835
2023-01-04 09:45:00+00:00,86.84,87.0,86.83,86.94,11236
2023-01-04 10:00:00+00:00,86.85,86.94,86.85,86.94,13598
2023-01-04 10:15:00+00:00,86.94,86.94,86.8,86.81,3876
2023-01-04 10:30:00+00:00,86.85,86.85,86.53,86.53,13988
2023-01-04 10:45:00+00:00,86.79,86.85,86.78,86.79,5598
2023-01-04 11:00:00+00:00,86.71,86.94,86.65,86.82,13711
