time,open,high,low,close,volume
2024-11-08 00:33:00+00:00,180.85,180.92,180.85,180.9,725
2024-11-08 00:37:00+00:00,180.82,180.82,180.82,180.82,199
2024-11-08 00:38:00+00:00,180.89,180.89,180.89,180.89,2002
2024-11-08 00:40:00+00:00,180.89,180.89,180.89,180.89,111
2024-11-08 00:41:00+00:00,180.89,180.89,180.89,180.89,545
2024-11-08 00:43:00+00:00,180.89,180.9057,180.89,180.89,917
2024-11-08 00:44:00+00:00,180.89,180.89,180.89,180.89,285
2024-11-08 00:51:00+00:00,180.89,180.89,180.89,180.89,697
2024-11-08 00:52:00+00:00,180.9,180.9,180.9,180.9,378
2024-11-08 00:55:00+00:00,180.88,180.88,180.88,180.88,137
2024-11-08 00:57:00+00:00,180.88,180.88,180.88,180.88,680
2024-11-08 00:59:00+00:00,180.8799,180.88,180.8799,180.88,817
2024-11-08 09:00:00+00:00,180.9,180.91,180.9,180.9,1896
2024-11-08 09:01:00+00:00,180.81,180.81,180.81,180.81,630
2024-11-08 09:03:00+00:00,180.89,180.89,180.89,180.89,844
2024-11-08 09:04:00+00:00,180.88,180.88,180.88,180.88,815
2024-11-08 09:05:00+00:00,180.89,180.89,180.89,180.89,611
2024-11-08 09:06:00+00:00,180.95,180.97,180.95,180.97,3585
2024-11-08 09:08:00+00:00,180.94,180.94,180.86,180.86,1070
2024-11-08 09:09:00+00:00,180.86,180.86,180.86,180.86,361
2024-11-08 09:12:00+00:00,180.85,180.86,180.82,180.82,1214
2024-11-08 09:14:00+00:00,180.84,180.86,180.84,180.86,1240
2024-11-08 09:15:00+00:00,180.86,180.86,180.86,180.86,288
2024-11-08 09:16:00+00:00,180.86,180.86,180.86,180.86,2997
2024-11-08 09:17:00+00:00,180.9,181.01,180.9,181.0,2914
2024-11-08 09:20:00+00:00,180.95,180.95,180.95,180.95,104
2024-11-08 09:23:00+00:00,180.92,180.92,180.92,180.92,232
2024-11-08 09:24:00+00:00,180.92,180.92,180.92,180.92,343
2024-11-08 09:25:00+00:00,180.91,180.91,180.91,180.91,498
2024-11-08 09:28:00+00:00,180.97,180.97,180.97,180.97,436
2024-11-08 09:40:00+00:00,180.92,180.92,180.92,180.92,1533
2024-11-08 09:46:00+00:00,180.92,180.92,180.91,180.91,1227
2024-11-08 10:01:00+00:00,180.9,180.9,180.9,180.9,404
2024-11-08 10:02:00+00:00,180.89,180.89,180.88,180.88,1304
2024-11-08 10:15:00+00:00,180.51,180.51,180.5,180.5,985
2024-11-08 10:16:00+00:00,180.54,180.54,180.54,180.54,396
2024-11-08 10:18:00+00:00,180.5,180.5,180.5,180.5,601
2024-11-08 10:22:00+00:00,180.12,180.12,180.1,180.1,2331
2024-11-08 10:23:00+00:00,180.05,180.05,180.05,180.05,540
