,Action,Portfolio,Price,Timestamp
0,Buy,10000.0,184.09999991193413,2024-05-02 22:00:00+00:00
1,Buy,9997.099999791772,183.5199998702884,2024-05-02 23:00:00+00:00
2,Sell,9996.560000263868,183.45999992274344,2024-05-03 08:00:00+00:00
3,Buy,9996.560000263868,183.5900000834465,2024-05-03 12:00:00+00:00
4,Sell,10005.109999647913,185.29999996025563,2024-05-03 13:00:00+00:00
5,Buy,10005.109999647913,184.11500003599824,2024-05-03 14:00:00+00:00
6,Buy,10008.485000126762,184.79000013176798,2024-05-03 15:00:00+00:00
7,Buy,10006.730000426473,184.5950001650691,2024-05-03 16:00:00+00:00
8,Sell,10008.80999860803,184.75500002518893,2024-05-03 17:00:00+00:00
9,Buy,10008.80999860803,182.41999973454176,2024-05-09 12:00:00+00:00
10,Sell,10009.510000739612,182.56000016085804,2024-05-09 13:00:00+00:00
11,Buy,10009.510000739612,184.9399997262746,2024-05-10 10:00:00+00:00
12,Sell,10008.810001351589,184.79999984866976,2024-05-10 11:00:00+00:00
13,Buy,10008.810001351589,184.79000013176798,2024-05-10 12:00:00+00:00
14,Sell,10008.310001788714,184.6900002191931,2024-05-10 13:00:00+00:00
15,Buy,10008.310001788714,183.5999998003483,2024-05-10 14:00:00+00:00
16,Buy,10003.060002263195,182.54999989524484,2024-05-10 15:00:00+00:00
17,Buy,10003.285000831887,182.5749997362107,2024-05-10 16:00:00+00:00
18,Buy,10000.880004717774,182.390000035125,2024-05-10 17:00:00+00:00
19,Buy,10002.325001122457,182.4749998236358,2024-05-10 18:00:00+00:00
20,Sell,10011.023009924693,182.90990026374757,2024-05-10 19:00:00+00:00
21,Buy,10011.023009924693,184.9399997262746,2024-05-13 10:00:00+00:00
22,Sell,10012.423011444298,185.2200000301957,2024-05-13 11:00:00+00:00
23,Buy,10012.423011444298,185.37000017341376,2024-05-13 12:00:00+00:00
24,Sell,10013.023010919747,185.4900000685036,2024-05-13 13:00:00+00:00
25,Buy,10013.023010919747,185.18499992361666,2024-05-13 14:00:00+00:00
26,Sell,10017.497011782136,186.0798000960946,2024-05-13 15:00:00+00:00
27,Buy,10017.497011782136,186.04999957892298,2024-05-13 16:00:00+00:00
28,Sell,10021.32201323935,186.81499987036585,2024-05-13 17:00:00+00:00
29,Buy,10021.32201323935,186.15999975711108,2024-05-13 22:00:00+00:00
30,Sell,10021.772016961275,186.2500005014956,2024-05-13 23:00:00+00:00
31,Buy,10021.772016961273,186.1400003233075,2024-05-14 08:00:00+00:00
32,Sell,10026.07201594555,187.00000012016295,2024-05-14 09:00:00+00:00
33,Buy,10026.07201594555,187.01999955396653,2024-05-14 10:00:00+00:00
34,Sell,10026.172018601683,187.04000008519293,2024-05-14 11:00:00+00:00
35,Buy,10026.172018601683,186.5000000085771,2024-05-14 12:00:00+00:00
36,Sell,10025.27201664495,186.3199996172309,2024-05-14 13:00:00+00:00
37,Buy,10025.27201664495,187.00999983706475,2024-05-14 14:00:00+00:00
38,Sell,10025.172019475933,186.99000040326118,2024-05-14 15:00:00+00:00
39,Buy,10025.172019475933,186.91000047320128,2024-05-14 16:00:00+00:00
40,Sell,10024.517017167833,186.7790000115812,2024-05-14 17:00:00+00:00
41,Buy,10024.517017167833,186.9399996239066,2024-05-14 18:00:00+00:00
42,Sell,10027.467021447685,187.530000479877,2024-05-14 19:00:00+00:00
43,Buy,10027.467021447685,187.39000005356073,2024-05-14 20:00:00+00:00
44,Sell,10028.267020748284,187.54999991368055,2024-05-14 21:00:00+00:00
45,Buy,10028.267020748284,187.54999991368055,2024-05-14 22:00:00+00:00
46,Sell,10028.617021814074,187.62000012683868,2024-05-14 23:00:00+00:00
47,Buy,10028.617021814074,187.44999945239425,2024-05-15 08:00:00+00:00
48,Sell,10028.067026410248,187.340000371629,2024-05-15 09:00:00+00:00
49,Buy,10028.067026410248,187.30000040659905,2024-05-15 10:00:00+00:00
50,Buy,10027.567024103817,187.19999994531275,2024-05-15 11:00:00+00:00
51,Buy,10028.467028255393,187.30000040659905,2024-05-15 12:00:00+00:00
52,Buy,10034.317019574399,187.74999973883033,2024-05-15 13:00:00+00:00
53,Buy,10053.357021584845,188.8699998570919,2024-05-15 14:00:00+00:00
54,Sell,10074.357019686915,189.91999976219535,2024-05-15 15:00:00+00:00
55,Buy,10074.357019686915,189.8849996556163,2024-05-15 16:00:00+00:00
56,Buy,10076.882019537097,190.38999962565302,2024-05-15 17:00:00+00:00
57,Buy,10076.792022084981,190.37999990875124,2024-05-15 18:00:00+00:00
58,Sell,10071.527028471226,189.97500040000082,2024-05-15 19:00:00+00:00
59,Buy,10071.527028471226,189.78000043330192,2024-05-15 21:00:00+00:00
60,Buy,10071.227025989945,189.71999993704557,2024-05-15 22:00:00+00:00
61,Sell,10072.39702249787,189.84999954903722,2024-05-15 23:00:00+00:00
62,Buy,10072.39702249787,189.9599997272253,2024-05-16 08:00:00+00:00
63,Sell,10073.997026586181,190.28000054488777,2024-05-16 09:00:00+00:00
64,Buy,10073.997026586181,189.67000025511385,2024-05-16 10:00:00+00:00
65,Sell,10075.39702536223,189.95000001032352,2024-05-16 11:00:00+00:00
66,Buy,10075.39702536223,190.0900004366398,2024-05-16 12:00:00+00:00
